chord,altchord,measure,beat,totbeat,timesig,op,no,mov,length,global_key,local_key,pedal,numeral,form,figbass,changes,relativeroot,phraseend
V43,,166,4,483,3/4,127,12,1,0,Eb,ii,,V,,43,,,FALSE
i6,,167,1,483,3/4,127,12,1,2,Eb,ii,,i,,6,,,FALSE
I.V2,,167,3,485,3/4,127,12,1,1,Eb,I,,V,,2,,,FALSE
I6,,168,1,486,3/4,127,12,1,2,Eb,I,,I,,6,,,FALSE
IV,,168,3,488,3/4,127,12,1,1,Eb,I,,IV,,,,,FALSE
V7,,169,1,489,3/4,127,12,1,1,Eb,I,,V,,7,,,FALSE
V65,,169,2,490,3/4,127,12,1,1,Eb,I,,V,,65,,,FALSE
V43,,169,3,491,3/4,127,12,1,2,Eb,I,,V,,43,,,FALSE
I,,170,2,493,3/4,127,12,1,1,Eb,I,,I,,,,,FALSE
I+6,,170,3,494,3/4,127,12,1,1,Eb,I,,I,+,6,,,FALSE
IV,,171,1,495,3/4,127,12,1,1,Eb,I,,IV,,,,,FALSE
ii64,,171,2,496,3/4,127,12,1,1,Eb,I,,ii,,64,,,FALSE
viio43,,171,3,497,3/4,127,12,1,1,Eb,I,,vii,o,43,,,FALSE
V2,,172,1,498,3/4,127,12,1,1,Eb,I,,V,,2,,,FALSE
I6,,172,2,499,3/4,127,12,1,1,Eb,I,,I,,6,,,FALSE
vi6,,172,3,500,3/4,127,12,1,1,Eb,I,,vi,,6,,,FALSE
I,,173,1,501,3/4,127,12,1,1,Eb,I,,I,,,,,FALSE
vii%7,,173,2,502,3/4,127,12,1,1,Eb,I,,vii,%,7,,,FALSE
V7,,173,3,503,3/4,127,12,1,1,Eb,I,,V,,7,,,FALSE
I,,174,1,504,3/4,127,12,1,1,Eb,I,,I,,,,,FALSE
viio6,,174,2,505,3/4,127,12,1,0.5,Eb,I,,vii,o,6,,,FALSE
I6,,174,2.5,505.5,3/4,127,12,1,0.5,Eb,I,,I,,6,,,FALSE
ii6,,174,3,506,3/4,127,12,1,0.5,Eb,I,,ii,,6,,,FALSE
iii6,,174,3.5,506.5,3/4,127,12,1,0.5,Eb,I,,iii,,6,,,FALSE
III6,,175,1,507,3/4,127,12,1,0.5,Eb,I,,III,,6,,,FALSE
IV6,,175,1.5,507.5,3/4,127,12,1,0.5,Eb,I,,IV,,6,,,FALSE
V(+6)/ii,,175,2,508,3/4,127,12,1,1,Eb,I,,V,,,6,ii,FALSE
ii(9),,175,3,509,3/4,127,12,1,0.5,Eb,I,,ii,,,9,,FALSE
viio,,175,3.5,509.5,3/4,127,12,1,0.5,Eb,I,,vii,o,,,,FALSE
ii64,,176,1,510,3/4,127,12,1,0.5,Eb,I,,ii,,64,,,FALSE
iii6,,176,1.5,510.5,3/4,127,12,1,0.5,Eb,I,,iii,,6,,,FALSE
V(+6),,176,2,511,3/4,127,12,1,1,Eb,I,,V,,,6,,FALSE
I(9),,176,3,512,3/4,127,12,1,0.5,Eb,I,,I,,,9,,FALSE
vi,,176,3.5,512.5,3/4,127,12,1,0.5,Eb,I,,vi,,,,,FALSE
I64,,177,1,513,3/4,127,12,1,0.5,Eb,I,,I,,64,,,FALSE
ii6,,177,1.5,513.5,3/4,127,12,1,2,Eb,I,,ii,,6,,,FALSE
V65/V,,177,3.5,515.5,3/4,127,12,1,0.5,Eb,I,,V,,65,,V,FALSE
V7,,178,1,516,3/4,127,12,1,1.5,Eb,I,,V,,7,,,FALSE
@none,,178,2.5,517.5,3/4,127,12,1,1.5,Eb,I,,,,,,,FALSE
ii64,,179,1,519,3/4,127,12,1,1,Eb,I,,ii,,64,,,FALSE
ii,,179,2,520,3/4,127,12,1,1,Eb,I,,ii,,,,,FALSE
V43,,179,3,521,3/4,127,12,1,1,Eb,I,,V,,43,,,FALSE
I,,180,1,522,3/4,127,12,1,3,Eb,I,,I,,,,,FALSE
V7,,181,1,525,3/4,127,12,1,3,Eb,I,,V,,7,,,FALSE
I,,182,1,528,3/4,127,12,1,6,Eb,I,,I,,,,,FALSE
V43,,184,1,534,3/4,127,12,1,3,Eb,I,,V,,43,,,FALSE
V65,,185,1,537,3/4,127,12,1,3,Eb,I,,V,,65,,,FALSE
I,,186,1,540,3/4,127,12,1,3,Eb,I,,I,,,,,FALSE
I64,,187,1,543,3/4,127,12,1,2.5,Eb,I,,I,,64,,,FALSE
IV.V2,,187,3.5,545.5,3/4,127,12,1,0.5,Eb,IV,,V,,2,,,FALSE
I6(9),,188,1,546,3/4,127,12,1,2,Eb,IV,,I,,6,9,,FALSE
I6,,188,3,548,3/4,127,12,1,4,Eb,IV,,I,,6,,,FALSE
V65,,190,1,552,3/4,127,12,1,2.5,Eb,IV,,V,,65,,,FALSE
I,,190,3.5,554.5,3/4,127,12,1,0.5,Eb,IV,,I,,,,,FALSE
V6,,191,1,555,3/4,127,12,1,2,Eb,IV,,V,,6,,,FALSE
V43,,191,3,557,3/4,127,12,1,1,Eb,IV,,V,,43,,,FALSE
I(9),,192,1,558,3/4,127,12,1,0.5,Eb,IV,,I,,,9,,FALSE
V2/IV,,192,1.5,558.5,3/4,127,12,1,3.5,Eb,IV,,V,,2,,IV,FALSE
V43/IV,,193,2,562,3/4,127,12,1,2,Eb,IV,,V,,43,,IV,FALSE
IV,,194,1,564,3/4,127,12,1,1.5,Eb,IV,,IV,,,,,FALSE
ii6,,194,2.5,565.5,3/4,127,12,1,1.5,Eb,IV,,ii,,6,,,FALSE
V(9),,195,1,567,3/4,127,12,1,1,Eb,IV,,V,,,9,,FALSE
V7,,195,2,568,3/4,127,12,1,2,Eb,IV,,V,,7,,,FALSE
#viio7/vi,,196,1,570,3/4,127,12,1,1,Eb,IV,,#vii,o,7,,vi,FALSE
vi,,196,2,571,3/4,127,12,1,1,Eb,IV,,vi,,,,,FALSE
V65/V,,196,3,572,3/4,127,12,1,1.5,Eb,IV,,V,,65,,V,FALSE
V(64),,197,1.5,573.5,3/4,127,12,1,0.5,Eb,IV,,V,,,64,,FALSE
V7,,197,2,574,3/4,127,12,1,2,Eb,IV,,V,,7,,,FALSE
I\\\\,,198,1,576,3/4,127,12,1,3,Eb,IV,,I,,,,,TRUE
ii.iio,,199,1,579,3/4,127,12,1,2,Eb,ii,,ii,o,,,,FALSE
V64,,199,3,581,3/4,127,12,1,1,Eb,ii,,V,,64,,,FALSE
i,,200,1,582,3/4,127,12,1,1,Eb,ii,,i,,,,,FALSE
#viio,,200,2,583,3/4,127,12,1,2,Eb,ii,,#vii,o,,,,FALSE
i64,,201,1,585,3/4,127,12,1,1,Eb,ii,,i,,64,,,FALSE
V7(2)/bVII,,201,2,586,3/4,127,12,1,1,Eb,ii,,V,,7,2,bVII,FALSE
ii6,,201,3,587,3/4,127,12,1,0.5,Eb,ii,,ii,,6,,,FALSE
i6,,201,3.5,587.5,3/4,127,12,1,0.5,Eb,ii,,i,,6,,,FALSE
V43,,202,1,588,3/4,127,12,1,1,Eb,ii,,V,,43,,,FALSE
i\\\\,,202,2,589,3/4,127,12,1,2,Eb,ii,,i,,,,,TRUE
I.ii,,203,1,591,3/4,127,12,1,2,Eb,I,,ii,,,,,FALSE
V64,,203,3,593,3/4,127,12,1,1,Eb,I,,V,,64,,,FALSE
I,,204,1,594,3/4,127,12,1,1,Eb,I,,I,,,,,FALSE
IV,,204,2,595,3/4,127,12,1,1,Eb,I,,IV,,,,,FALSE
V6,,204,3,596,3/4,127,12,1,1,Eb,I,,V,,6,,,FALSE
I,,205,1,597,3/4,127,12,1,1,Eb,I,,I,,,,,FALSE
vi7,,205,2,598,3/4,127,12,1,1,Eb,I,,vi,,7,,,FALSE
viio6,,205,3,599,3/4,127,12,1,0.5,Eb,I,,vii,o,6,,,FALSE
I,,205,3.5,599.5,3/4,127,12,1,0.5,Eb,I,,I,,,,,FALSE
I[viio6,,206,1,600,3/4,127,12,1,2.5,Eb,I,I,vii,o,6,,,FALSE
viio2,,206,3.5,602.5,3/4,127,12,1,0.5,Eb,I,I,vii,o,2,,,FALSE
I64,,207,1,603,3/4,127,12,1,3,Eb,I,I,I,,64,,,FALSE
viio43,,208,1,606,3/4,127,12,1,6,Eb,I,I,vii,o,43,,,FALSE
V43,,210,1,612,3/4,127,12,1,1,Eb,I,I,V,,43,,,FALSE
I],,210,2,613,3/4,127,12,1,1,Eb,I,I,I,,,,,FALSE
IV64,,210,3,614,3/4,127,12,1,1,Eb,I,,IV,,64,,,FALSE
I6,,211,1,615,3/4,127,12,1,2,Eb,I,,I,,6,,,FALSE
I+6,,211,3,617,3/4,127,12,1,1,Eb,I,,I,+,6,,,FALSE
IV(11),,212,1,618,3/4,127,12,1,2,Eb,I,,IV,,,11,,FALSE
IV+,,212,3,620,3/4,127,12,1,1,Eb,I,,IV,+,,,,FALSE
IV[ii,,213,1,621,3/4,127,12,1,0.5,Eb,I,IV,ii,,,,,FALSE
viio,,213,1.5,621.5,3/4,127,12,1,1,Eb,I,IV,vii,o,,,,FALSE
ii],,213,2.5,622.5,3/4,127,12,1,0.5,Eb,I,IV,ii,,,,,FALSE
#viio7/V,,213,3,623,3/4,127,12,1,1.5,Eb,I,,#vii,o,7,,V,FALSE
viio64,,214,1.5,624.5,3/4,127,12,1,1,Eb,I,,vii,o,64,,,FALSE
I6,,214,2.5,625.5,3/4,127,12,1,1,Eb,I,,I,,6,,,FALSE
viio6,,214,3.5,626.5,3/4,127,12,1,0.5,Eb,I,,vii,o,6,,,FALSE
I[I,,215,1,627,3/4,127,12,1,3,Eb,I,I,I,,,,,FALSE
viio43,,216,1,630,3/4,127,12,1,3,Eb,I,I,vii,o,43,,,FALSE
viio7,,217,1,633,3/4,127,12,1,2,Eb,I,I,vii,o,7,,,FALSE
I,,217,3,635,3/4,127,12,1,0.5,Eb,I,I,I,,,,,FALSE
viio,,217,3.5,635.5,3/4,127,12,1,1.5,Eb,I,I,vii,o,,,,FALSE
I],,218,2,637,3/4,127,12,1,1,Eb,I,I,I,,,,,FALSE
ii7,,218,3,638,3/4,127,12,1,1,Eb,I,,ii,,7,,,FALSE
I6,,219,1,639,3/4,127,12,1,2,Eb,I,,I,,6,,,FALSE
I+6,,219,3,641,3/4,127,12,1,1,Eb,I,,I,+,6,,,FALSE
IV(9),,220,1,642,3/4,127,12,1,2,Eb,I,,IV,,,9,,FALSE
IV+,,220,3,644,3/4,127,12,1,2.5,Eb,I,,IV,+,,,,FALSE
ii6,,221,2.5,646.5,3/4,127,12,1,0.5,Eb,I,,ii,,6,,,FALSE
viio,,221,3,647,3/4,127,12,1,1,Eb,I,,vii,o,,,,FALSE
viio7/vi,,222,1,648,3/4,127,12,1,0.5,Eb,I,,vii,o,7,,vi,FALSE
vi,,222,1.5,648.5,3/4,127,12,1,1,Eb,I,,vi,,,,,FALSE
ii6,,222,2.5,649.5,3/4,127,12,1,0.5,Eb,I,,ii,,6,,,FALSE
V(64),,222,3,650,3/4,127,12,1,0.5,Eb,I,,V,,,64,,FALSE
V2,,222,3.5,650.5,3/4,127,12,1,0.5,Eb,I,,V,,2,,,FALSE
I6,,223,1,651,3/4,127,12,1,2,Eb,I,,I,,6,,,FALSE
V2(4),,223,3,653,3/4,127,12,1,1,Eb,I,,V,,2,4,,FALSE
V64(2),,224,1,654,3/4,127,12,1,1,Eb,I,,V,,64,2,,FALSE
V,,224,2,655,3/4,127,12,1,1,Eb,I,,V,,,,,FALSE
I6,,224,3,656,3/4,127,12,1,1,Eb,I,,I,,6,,,FALSE
I,,225,1,657,3/4,127,12,1,2,Eb,I,,I,,,,,FALSE
V65(4),,225,3,659,3/4,127,12,1,1,Eb,I,,V,,65,4,,FALSE
V6(4),,226,1,660,3/4,127,12,1,1,Eb,I,,V,,6,4,,FALSE
V6,,226,2,661,3/4,127,12,1,1,Eb,I,,V,,6,,,FALSE
I64,,226,3,662,3/4,127,12,1,3,Eb,I,,I,,64,,,FALSE
V7(4),,227,3,665,3/4,127,12,1,1,Eb,I,,V,,7,4,,FALSE
V(4),,228,1,666,3/4,127,12,1,1,Eb,I,,V,,,4,,FALSE
V,,228,2,667,3/4,127,12,1,1,Eb,I,,V,,,,,FALSE
I64,,228,3,668,3/4,127,12,1,1,Eb,I,,I,,64,,,FALSE
I6,,229,1,669,3/4,127,12,1,3,Eb,I,,I,,6,,,FALSE
V43(4),,230,1,672,3/4,127,12,1,1,Eb,I,,V,,43,4,,FALSE
V43,,230,2,673,3/4,127,12,1,2,Eb,I,,V,,43,,,FALSE
I,,231,1,675,3/4,127,12,1,3,Eb,I,,I,,,,,FALSE
I\\\\,,232,1,678,3/4,127,12,1,3,Eb,I,,I,,,,,TRUE
I64,,233,1,681,3/4,127,12,1,3,Eb,I,,I,,64,,,FALSE
V7,,234,1,684,3/4,127,12,1,1,Eb,I,,V,,7,,,FALSE
viio2,,234,2,685,3/4,127,12,1,1,Eb,I,,vii,o,2,,,FALSE
V7,,234,3,686,3/4,127,12,1,1,Eb,I,,V,,7,,,FALSE
I,,235,1,687,3/4,127,12,1,3,Eb,I,,I,,,,,FALSE
I\\\\,,236,1,690,3/4,127,12,1,3,Eb,I,,I,,,,,TRUE
I64,,237,1,693,3/4,127,12,1,3,Eb,I,,I,,64,,,FALSE
V7,,238,1,696,3/4,127,12,1,1,Eb,I,,V,,7,,,FALSE
viio2,,238,2,697,3/4,127,12,1,1,Eb,I,,vii,o,2,,,FALSE
V7,,238,3,698,3/4,127,12,1,5,Eb,I,,V,,7,,,FALSE
V7,,240,2,703,3/4,127,12,1,1,Eb,I,,V,,7,,,FALSE
viio65/IV,,240,3,704,3/4,127,12,1,1,Eb,I,,vii,o,65,,IV,FALSE
IV6,,241,1,705,3/4,127,12,1,2,Eb,I,,IV,,6,,,FALSE
ii43,,241,3,707,3/4,127,12,1,1,Eb,I,,ii,,43,,,FALSE
V43(4)/IV,,242,1,708,3/4,127,12,1,2,Eb,I,,V,,43,4,IV,FALSE
V43/IV,,242,3,710,3/4,127,12,1,1,Eb,I,,V,,43,,IV,FALSE
IV,,243,1,711,3/4,127,12,1,2,Eb,I,,IV,,,,,FALSE
ii6,,243,3,713,3/4,127,12,1,1,Eb,I,,ii,,6,,,FALSE
V43/ii,,244,1,714,3/4,127,12,1,3,Eb,I,,V,,43,,ii,FALSE
ii,,245,1,717,3/4,127,12,1,2,Eb,I,,ii,,,,,FALSE
viio6,,245,3,719,3/4,127,12,1,1,Eb,I,,vii,o,6,,,FALSE
I6(2),,246,1,720,3/4,127,12,1,1,Eb,I,,I,,6,2,,FALSE
I6,,246,2,721,3/4,127,12,1,2,Eb,I,,I,,6,,,FALSE
V2,,247,1,723,3/4,127,12,1,3,Eb,I,,V,,2,,,FALSE
I6,,248,1,726,3/4,127,12,1,3,Eb,I,,I,,6,,,FALSE
V43(9),,249,1,729,3/4,127,12,1,2,Eb,I,,V,,43,9,,FALSE
viio6,,249,3,731,3/4,127,12,1,1,Eb,I,,vii,o,6,,,FALSE
I6(2),,250,1,732,3/4,127,12,1,2,Eb,I,,I,,6,2,,FALSE
I6,,250,3,734,3/4,127,12,1,1,Eb,I,,I,,6,,,FALSE
V2(4),,251,1,735,3/4,127,12,1,2,Eb,I,,V,,2,4,,FALSE
V2,,251,3,737,3/4,127,12,1,1,Eb,I,,V,,2,,,FALSE
iii,,252,1,738,3/4,127,12,1,1,Eb,I,,iii,,,,,FALSE
I6,,252,2,739,3/4,127,12,1,2,Eb,I,,I,,6,,,FALSE
viio6(2),,253,1,741,3/4,127,12,1,1,Eb,I,,vii,o,6,2,,FALSE
viio6,,253,2,742,3/4,127,12,1,2,Eb,I,,vii,o,6,,,FALSE
I6(2),,254,1,744,3/4,127,12,1,2,Eb,I,,I,,6,2,,FALSE
I6,,254,3,746,3/4,127,12,1,1,Eb,I,,I,,6,,,FALSE
V2(4),,255,1,747,3/4,127,12,1,2,Eb,I,,V,,2,4,,FALSE
V2,,255,3,749,3/4,127,12,1,1,Eb,I,,V,,2,,,FALSE
iii,,256,1,750,3/4,127,12,1,1,Eb,I,,iii,,,,,FALSE
I6,,256,2,751,3/4,127,12,1,2,Eb,I,,I,,6,,,FALSE
V43(6),,257,1,753,3/4,127,12,1,2,Eb,I,,V,,43,6,,FALSE
V43,,257,3,755,3/4,127,12,1,1,Eb,I,,V,,43,,,FALSE
I(2),,258,1,756,3/4,127,12,1,2,Eb,I,,I,,,2,,FALSE
I,,258,3,758,3/4,127,12,1,1,Eb,I,,I,,,,,FALSE
vi6,,259,1,759,3/4,127,12,1,2,Eb,I,,vi,,6,,,FALSE
V6/V,,259,3,761,3/4,127,12,1,4,Eb,I,,V,,6,,V,FALSE
V65/V,,261,1,765,3/4,127,12,1,1,Eb,I,,V,,65,,V,FALSE
V(64),,261,2,766,3/4,127,12,1,1,Eb,I,,V,,,64,,FALSE
V7,,261,3,767,3/4,127,12,1,1,Eb,I,,V,,7,,,FALSE
ii64,,262,1,768,3/4,127,12,1,1,Eb,I,,ii,,64,,,FALSE
V2/IV,,262,2,769,3/4,127,12,1,1,Eb,I,,V,,2,,IV,FALSE
ii64,,262,3,770,3/4,127,12,1,0.5,Eb,I,,ii,,64,,,FALSE
I64,,262,3.5,770.5,3/4,127,12,1,0.5,Eb,I,,I,,64,,,FALSE
IV64,,263,1,771,3/4,127,12,1,1,Eb,I,,IV,,64,,,FALSE
IV,,263,2,772,3/4,127,12,1,1,Eb,I,,IV,,,,,FALSE
ivo,,263,3,773,3/4,127,12,1,3,Eb,I,,iv,o,,,,FALSE
ii65,,264,3,776,3/4,127,12,1,1,Eb,I,,ii,,65,,,FALSE
I64,,265,1,777,3/4,127,12,1,1,Eb,I,,I,,64,,,FALSE
V2,,265,2,778,3/4,127,12,1,1,Eb,I,,V,,2,,,FALSE
I6,,265,3,779,3/4,127,12,1,1,Eb,I,,I,,6,,,FALSE
V7(2)/IV,,266,1,780,3/4,127,12,1,1,Eb,I,,V,,7,2,IV,FALSE
IV64,,266,2,781,3/4,127,12,1,1,Eb,I,,IV,,64,,,FALSE
V2/IV,,266,3,782,3/4,127,12,1,1,Eb,I,,V,,2,,IV,FALSE
IV6,,267,1,783,3/4,127,12,1,1,Eb,I,,IV,,6,,,FALSE
ii,,267,2,784,3/4,127,12,1,1,Eb,I,,ii,,,,,FALSE
viio,,267,3,785,3/4,127,12,1,1,Eb,I,,vii,o,,,,FALSE
V6(+6),,268,1,786,3/4,127,12,1,1,Eb,I,,V,,6,6,,FALSE
I6,,268,2,787,3/4,127,12,1,1,Eb,I,,I,,6,,,FALSE
I,,268,3,788,3/4,127,12,1,1,Eb,I,,I,,,,,FALSE
I(+4),,269,1,789,3/4,127,12,1,1,Eb,I,,I,,,4,,FALSE
ii6,,269,2,790,3/4,127,12,1,1,Eb,I,,ii,,6,,,FALSE
viio6,,269,3,791,3/4,127,12,1,2,Eb,I,,vii,o,6,,,FALSE
V43/IV,,270,2,793,3/4,127,12,1,1,Eb,I,,V,,43,,IV,FALSE
V65/IV,,270,3,794,3/4,127,12,1,1,Eb,I,,V,,65,,IV,FALSE
ii6,,271,1,795,3/4,127,12,1,2,Eb,I,,ii,,6,,,FALSE
V2,,271,3,797,3/4,127,12,1,2,Eb,I,,V,,2,,,FALSE
I6,,272,2,799,3/4,127,12,1,1,Eb,I,,I,,6,,,FALSE
I,,272,3,800,3/4,127,12,1,1,Eb,I,,I,,,,,FALSE
V7,,273,1,801,3/4,127,12,1,2,Eb,I,,V,,7,,,FALSE
V65,,273,3,803,3/4,127,12,1,1,Eb,I,,V,,65,,,FALSE
I,,274,1,804,3/4,127,12,1,2,Eb,I,,I,,,,,FALSE
I+6,,274,3,806,3/4,127,12,1,1,Eb,I,,I,+,6,,,FALSE
IV,,275,1,807,3/4,127,12,1,2,Eb,I,,IV,,,,,FALSE
viio64,,275,3,809,3/4,127,12,1,1,Eb,I,,vii,o,64,,,FALSE
I6(2),,276,1,810,3/4,127,12,1,2,Eb,I,,I,,6,2,,FALSE
vi64,,276,3,812,3/4,127,12,1,1,Eb,I,,vi,,64,,,FALSE
viio6(2),,277,1,813,3/4,127,12,1,2,Eb,I,,vii,o,6,2,,FALSE
viio6,,277,3,815,3/4,127,12,1,1,Eb,I,,vii,o,6,,,FALSE
I(72),,278,1,816,3/4,127,12,1,1,Eb,I,,I,,,72,,FALSE
I(7),,278,2,817,3/4,127,12,1,1,Eb,I,,I,,,7,,FALSE
I64,,278,3,818,3/4,127,12,1,1,Eb,I,,I,,64,,,FALSE
viio64(2),,279,1,819,3/4,127,12,1,2,Eb,I,,vii,o,64,2,,FALSE
viio64,,279,3,821,3/4,127,12,1,1,Eb,I,,vii,o,64,,,FALSE
I6(72),,280,1,822,3/4,127,12,1,1,Eb,I,,I,,6,72,,FALSE
I6(7),,280,2,823,3/4,127,12,1,1,Eb,I,,I,,6,7,,FALSE
I64,,280,3,824,3/4,127,12,1,1,Eb,I,,I,,64,,,FALSE
V7,,281,1,825,3/4,127,12,1,3,Eb,I,,V,,7,,,FALSE
I\\\\,,282,1,828,3/4,127,12,1,3,Eb,I,,I,,,,,TRUE
.Ab.V7,,1,2,2,12/8,127,12,2,13,Ab,I,,V,,7,,,FALSE
I64,,4,1,15,12/8,127,12,2,1.5,Ab,I,,I,,64,,,FALSE
I,,4,2.5,16.5,12/8,127,12,2,4.5,Ab,I,,I,,,,,FALSE
V65,,5,1,21,12/8,127,12,2,3,Ab,I,,V,,65,,,FALSE
V43,,5,4,24,12/8,127,12,2,3,Ab,I,,V,,43,,,FALSE
I6,,6,1,27,12/8,127,12,2,4.5,Ab,I,,I,,6,,,FALSE
I64,,6,5.5,31.5,12/8,127,12,2,4.5,Ab,I,,I,,64,,,FALSE
V,,7,4,36,12/8,127,12,2,1.5,Ab,I,,V,,,,,FALSE
vi2,,7,5.5,37.5,12/8,127,12,2,1,Ab,I,,vi,,2,,,FALSE
V7,,7,6.5,38.5,12/8,127,12,2,0.5,Ab,I,,V,,7,,,FALSE
I64,,8,1,39,12/8,127,12,2,1.5,Ab,I,,I,,64,,,FALSE
vi,,8,2.5,40.5,12/8,127,12,2,1.5,Ab,I,,vi,,,,,FALSE
I,,8,4,42,12/8,127,12,2,3,Ab,I,,I,,,,,FALSE
V65,,9,1,45,12/8,127,12,2,6,Ab,I,,V,,65,,,FALSE
I,,10,1,51,12/8,127,12,2,1.5,Ab,I,,I,,,,,FALSE
#viio6(+4)/vi,,10,2.5,52.5,12/8,127,12,2,1,Ab,I,,#vii,o,6,4,vi,FALSE
vi6,,10,3.5,53.5,12/8,127,12,2,0.5,Ab,I,,vi,,6,,,FALSE
V7/V,,10,4,54,12/8,127,12,2,1.5,Ab,I,,V,,7,,V,FALSE
V64,,10,5.5,55.5,12/8,127,12,2,1,Ab,I,,V,,64,,,FALSE
V7/V,,10,6.5,56.5,12/8,127,12,2,0.5,Ab,I,,V,,7,,V,FALSE
V[V7/V,,11,1,57,12/8,127,12,2,3,Ab,I,V,V,,7,,V,FALSE
V6]\\\\,,11,4,60,12/8,127,12,2,1,Ab,I,V,V,,6,,,TRUE
V43,,11,5,61,12/8,127,12,2,2,Ab,I,,V,,43,,,FALSE
V65,,12,1,63,12/8,127,12,2,3,Ab,I,,V,,65,,,FALSE
V43(4),,12,4,66,12/8,127,12,2,1,Ab,I,,V,,43,4,,FALSE
V43,,12,5,67,12/8,127,12,2,0.5,Ab,I,,V,,43,,,FALSE
V43(4),,12,5.5,67.5,12/8,127,12,2,1,Ab,I,,V,,43,4,,FALSE
V43,,12,6.5,68.5,12/8,127,12,2,0.5,Ab,I,,V,,43,,,FALSE
I,,13,1,69,12/8,127,12,2,3,Ab,I,,I,,,,,FALSE
I6(2),,13,4,72,12/8,127,12,2,1,Ab,I,,I,,6,2,,FALSE
I6,,13,5,73,12/8,127,12,2,0.5,Ab,I,,I,,6,,,FALSE
I6(2),,13,5.5,73.5,12/8,127,12,2,1,Ab,I,,I,,6,2,,FALSE
I6,,13,6.5,74.5,12/8,127,12,2,0.5,Ab,I,,I,,6,,,FALSE
I6(4),,14,1,75,12/8,127,12,2,1,Ab,I,,I,,6,4,,FALSE
V43,,14,2,76,12/8,127,12,2,0.5,Ab,I,,V,,43,,,FALSE
I(+4),,14,2.5,76.5,12/8,127,12,2,1,Ab,I,,I,,,4,,FALSE
V6,,14,3.5,77.5,12/8,127,12,2,0.5,Ab,I,,V,,6,,,FALSE
vi7,,14,4,78,12/8,127,12,2,1,Ab,I,,vi,,7,,,FALSE
V,,14,5,79,12/8,127,12,2,0.5,Ab,I,,V,,,,,FALSE
V65(+4)/V,,14,5.5,79.5,12/8,127,12,2,1,Ab,I,,V,,65,4,V,FALSE
V2,,14,6.5,80.5,12/8,127,12,2,0.5,Ab,I,,V,,2,,,FALSE
I6,,15,1,81,12/8,127,12,2,1.5,Ab,I,,I,,6,,,FALSE
V7,,15,2.5,82.5,12/8,127,12,2,1.5,Ab,I,,V,,7,,,FALSE
I\\\\,,15,4,84,12/8,127,12,2,1.5,Ab,I,,I,,,,,TRUE
V[V6,,15,5.5,85.5,12/8,127,12,2,1,Ab,I,V,V,,6,,,FALSE
vi6,,15,6.5,86.5,12/8,127,12,2,0.5,Ab,I,V,vi,,6,,,FALSE
V43,,16,1,87,12/8,127,12,2,2.5,Ab,I,V,V,,43,,,FALSE
IV64,,16,3.5,89.5,12/8,127,12,2,0.5,Ab,I,V,IV,,64,,,FALSE
ii2,,16,4,90,12/8,127,12,2,3,Ab,I,V,ii,,2,,,FALSE
I6,,17,1,93,12/8,127,12,2,2.5,Ab,I,V,I,,6,,,FALSE
viio6,,17,3.5,95.5,12/8,127,12,2,0.5,Ab,I,V,vii,o,6,,,FALSE
I(2),,17,4,96,12/8,127,12,2,1,Ab,I,V,I,,,2,,FALSE
I],,17,5,97,12/8,127,12,2,0.5,Ab,I,V,I,,,,,FALSE
V43/IV,,17,5.5,97.5,12/8,127,12,2,1.5,Ab,I,,V,,43,,IV,FALSE
IV,,18,1,99,12/8,127,12,2,1,Ab,I,,IV,,,,,FALSE
V43/IV,,18,2,100,12/8,127,12,2,0.5,Ab,I,,V,,43,,IV,FALSE
IV,,18,2.5,100.5,12/8,127,12,2,1,Ab,I,,IV,,,,,FALSE
I6,,18,3.5,101.5,12/8,127,12,2,0.5,Ab,I,,I,,6,,,FALSE
ii7,,18,4,102,12/8,127,12,2,1,Ab,I,,ii,,7,,,FALSE
viio2,,18,5,103,12/8,127,12,2,0.5,Ab,I,,vii,o,2,,,FALSE
I64,,18,5.5,103.5,12/8,127,12,2,1,Ab,I,,I,,64,,,FALSE
V65/V,,18,6.5,104.5,12/8,127,12,2,0.5,Ab,I,,V,,65,,V,FALSE
V(64),,19,1,105,12/8,127,12,2,1.5,Ab,I,,V,,,64,,FALSE
V7,,19,2.5,106.5,12/8,127,12,2,1.5,Ab,I,,V,,7,,,FALSE
V(64),,19,4,108,12/8,127,12,2,1.5,Ab,I,,V,,,64,,FALSE
V7,,19,5.5,109.5,12/8,127,12,2,1.5,Ab,I,,V,,7,,,FALSE
V65/IV,,20,1,111,12/8,127,12,2,1,Ab,I,,V,,65,,IV,FALSE
V43/IV,,20,2,112,12/8,127,12,2,0.5,Ab,I,,V,,43,,IV,FALSE
IV,,20,2.5,112.5,12/8,127,12,2,1,Ab,I,,IV,,,,,FALSE
iv6,,20,3.5,113.5,12/8,127,12,2,0.5,Ab,I,,iv,,6,,,FALSE
#iv%7,,20,4,114,12/8,127,12,2,1,Ab,I,,#iv,%,7,,,FALSE
V(64),,20,5,115,12/8,127,12,2,1.5,Ab,I,,V,,,64,,FALSE
V7,,20,6.5,116.5,12/8,127,12,2,0.5,Ab,I,,V,,7,,,FALSE
V(64),,21,1,117,12/8,127,12,2,1.5,Ab,I,,V,,,64,,FALSE
V7,,21,2.5,118.5,12/8,127,12,2,1.5,Ab,I,,V,,7,,,FALSE
